# FlySight Sensor Fusion Export
# Generated: 2026-01-07T19:41:05.753Z
# Algorithm: fusion
# Source file: SENSOR.CSV
# Frames: 13084
#
# COORDINATE SYSTEMS:
#   Earth Frame (NWU): X=North, Y=West, Z=Up (right-handed)
#   Body Frame: Sensor-fixed frame, orientation depends on mounting
#
# COLUMN DESCRIPTIONS:
#   timestamp: Time since data start
#   r00-r22: Rotation matrix (body-to-earth transform, row-major)
#            To rotate vector v from body to earth: v_earth = R * v_body
#   roll/pitch/yaw: Euler angles (earth frame)
#   accel_body_*: Raw accelerometer reading (body frame)
#   accel_earth_*: Raw accelerometer rotated to earth frame
#   earth_accel_*: Acceleration in earth frame with gravity removed
#   gravity_body_*: Estimated gravity vector in body frame
#   linear_accel_*: Linear acceleration in body frame (gravity removed)
#   gyro_*: Angular velocity (body frame)
#   q*: Orientation quaternion (body-to-earth, scalar-first: w,x,y,z)
#
timestamp,r00,r01,r02,r10,r11,r12,r20,r21,r22,roll,pitch,yaw,accel_body_x,accel_body_y,accel_body_z,accel_earth_x,accel_earth_y,accel_earth_z,earth_accel_x,earth_accel_y,earth_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,linear_accel_x,linear_accel_y,linear_accel_z,gyro_x,gyro_y,gyro_z,qw,qx,qy,qz
s,-,-,-,-,-,-,-,-,-,deg,deg,deg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,deg/s,deg/s,deg/s,-,-,-,-
152650.465000,0.159494,0.742797,-0.650242,-0.295080,0.664432,0.686628,0.942067,0.082361,0.325157,14.2138,-70.4016,-61.6083,0.074700,0.247550,0.761230,-0.299190,0.665120,0.338280,-0.005648,-0.015098,-0.210046,0.082361,0.325157,0.942067,-0.031527,-0.074992,-0.194323,10.6810,-17.7000,-44.1890,0.732988,-0.206097,-0.543089,-0.353989
152650.540000,0.244303,0.688773,-0.682575,-0.165184,0.723175,0.670621,0.955526,-0.051084,0.290448,-9.9751,-72.8481,-34.0644,-0.117670,0.214350,0.911130,-0.503023,0.785472,0.141249,-0.032822,-0.106978,-0.071161,-0.051084,0.290448,0.955526,-0.096336,-0.070007,-0.058344,7.5680,-69.8240,-104.1250,0.751320,-0.240146,-0.545075,-0.284152
152650.615000,0.013255,0.315951,-0.948683,-0.195059,0.931356,0.307455,0.980702,0.180974,0.073974,67.7675,-78.7255,-86.1126,0.187980,0.090820,0.918450,-0.840132,0.330300,0.268730,-0.024650,-0.001906,-0.077082,0.180974,0.073974,0.980702,-0.023513,0.017097,-0.075550,-23.5590,-105.9570,-18.1270,0.710385,-0.044511,-0.678993,-0.179836
152650.690000,0.053161,0.102401,-0.993322,-0.635584,0.770693,0.045435,0.770199,0.628924,0.106056,80.4282,-50.3718,-85.2188,0.708490,0.268550,0.758300,-0.688072,-0.208882,0.794998,-0.144937,0.069395,0.033831,0.628924,0.106056,0.770199,0.059918,0.150710,-0.025755,-21.9110,-111.1450,-1.9530,0.694606,0.210007,-0.634720,-0.265613
152650.765000,-0.165122,0.472155,-0.865913,-0.740925,0.520101,0.424883,0.650972,0.711734,0.263951,69.6524,-40.6149,-102.5636,0.893060,0.386230,0.718260,-0.587054,-0.155636,1.045836,-0.021742,0.092161,0.180481,0.711734,0.263951,0.650972,0.166122,0.105622,0.052793,-14.8920,-34.3620,-3.6620,0.636186,0.112723,-0.596086,-0.476700
152650.840000,-0.351411,0.752817,-0.556577,-0.459942,0.378986,0.803008,0.815453,0.538179,0.213073,68.4007,-54.6322,-127.3810,0.512690,0.302240,0.798820,-0.397238,0.520196,0.750940,-0.069546,0.061651,-0.033011,0.538179,0.213073,0.815453,-0.046756,0.081180,-0.030836,-21.7890,63.1100,3.7840,0.556922,-0.118881,-0.615899,-0.544403
152650.915000,-0.230649,0.838692,-0.493353,-0.064424,0.492748,0.867784,0.970902,0.231937,-0.059619,104.4158,-76.1443,-164.3940,0.173330,-0.166990,0.985350,-0.666156,0.761620,0.070809,-0.029264,-0.138615,-0.013574,0.231937,-0.059619,0.970902,-0.095994,-0.105041,0.002501,-33.8740,69.0300,-3.1730,0.548288,-0.289924,-0.667648,-0.411789
152650.990000,-0.202498,0.610299,-0.765852,-0.175090,0.746889,0.641483,0.963503,0.263992,-0.044386,99.5441,-74.4727,-139.1516,0.322260,-0.019040,0.989740,-0.834872,0.564256,0.261541,-0.005360,0.030718,0.018202,0.263992,-0.044386,0.963503,0.024477,0.023002,0.013245,-6.1640,2.9900,-15.2580,0.612374,-0.154110,-0.706005,-0.320633
152651.065000,-0.205394,0.475711,-0.855285,-0.442439,0.734382,0.514715,0.872961,0.484131,0.059635,82.9777,-60.8046,-114.9022,0.641110,0.160150,0.916990,-0.839783,0.305948,0.691883,-0.021072,0.128835,0.094830,0.484131,0.059635,0.872961,0.130501,0.089991,0.030109,3.5400,-27.3430,-30.6390,0.630203,-0.012133,-0.685591,-0.364228
