# FlySight Sensor Fusion Export
# Generated: 2026-01-07T07:01:45.758Z
# Algorithm: madgwick
# Source file: SENSOR.CSV
# Frames: 13084
#
# COORDINATE SYSTEMS:
#   Earth Frame (NWU): X=North, Y=West, Z=Up (right-handed)
#   Body Frame: Sensor-fixed frame, orientation depends on mounting
#
# COLUMN DESCRIPTIONS:
#   timestamp: Time since data start
#   r00-r22: Rotation matrix (body-to-earth transform, row-major)
#            To rotate vector v from body to earth: v_earth = R * v_body
#   roll/pitch/yaw: Euler angles (earth frame)
#   accel_body_*: Raw accelerometer reading (body frame)
#   accel_earth_*: Raw accelerometer rotated to earth frame
#   earth_accel_*: Acceleration in earth frame with gravity removed
#   gravity_body_*: Estimated gravity vector in body frame
#   linear_accel_*: Linear acceleration in body frame (gravity removed)
#   gyro_*: Angular velocity (body frame)
#   q*: Orientation quaternion (body-to-earth, scalar-first: w,x,y,z)
#
timestamp,r00,r01,r02,r10,r11,r12,r20,r21,r22,roll,pitch,yaw,accel_body_x,accel_body_y,accel_body_z,accel_earth_x,accel_earth_y,accel_earth_z,earth_accel_x,earth_accel_y,earth_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,linear_accel_x,linear_accel_y,linear_accel_z,gyro_x,gyro_y,gyro_z,qw,qx,qy,qz
s,-,-,-,-,-,-,-,-,-,deg,deg,deg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,deg/s,deg/s,deg/s,-,-,-,-
152650.465000,0.258038,0.441375,-0.859421,-0.214593,0.893509,0.394451,0.942001,0.082643,0.325275,0.2488,-1.2285,-0.6937,0.074700,0.247550,0.761230,-0.525679,0.505426,0.338435,0.000386,-0.016363,-0.210051,0.082643,0.325275,0.942001,-0.031809,-0.075110,-0.194258,10.6810,-17.7000,-44.1890,0.786896,-0.099063,-0.572319,-0.208404
152650.540000,0.233908,0.570378,-0.787373,-0.227130,0.819487,0.526168,0.945356,0.055761,0.321235,0.1719,-1.2387,-0.7707,-0.117670,0.214350,0.911130,-0.622662,0.681791,0.193399,-0.047796,-0.208597,-0.089250,0.055761,0.321235,0.945356,-0.203181,-0.100794,-0.048174,7.5680,-69.8240,-104.1250,0.770492,-0.152632,-0.562215,-0.258766
152650.615000,0.078299,0.598352,-0.797398,-0.319288,0.772773,0.548522,0.944417,0.211651,0.251555,0.6995,-1.2358,-1.3303,0.187980,0.090820,0.918450,-0.663309,0.513954,0.427794,0.092470,-0.117369,-0.088923,0.211651,0.251555,0.944417,-0.054190,-0.160484,-0.039265,-23.5590,-105.9570,-18.1270,0.725022,-0.116159,-0.600608,-0.316418
152650.690000,-0.072637,0.577358,-0.813254,-0.490039,0.689535,0.533294,0.868669,0.437263,0.232842,1.0815,-1.0525,-1.7180,0.708490,0.268550,0.758300,-0.513103,0.242383,0.909435,0.134818,0.247106,0.007666,0.437263,0.232842,0.868669,0.251579,0.023924,-0.124225,-21.9110,-111.1450,-1.9530,0.680026,-0.035304,-0.618330,-0.392410
152650.765000,-0.138380,0.557204,-0.818764,-0.590536,0.617252,0.519873,0.795059,0.555450,0.243633,1.1574,-0.9191,-1.8010,0.893060,0.386230,0.718260,-0.496459,0.084421,1.099559,0.089164,0.318391,0.137180,0.555450,0.243633,0.795059,0.322406,0.125940,-0.091293,-14.8920,-34.3620,-3.6620,0.656221,0.013554,-0.614817,-0.437253
152650.840000,-0.098936,0.589368,-0.801784,-0.504025,0.665054,0.551056,0.858004,0.458638,0.231258,1.1038,-1.0314,-1.7646,0.512690,0.302240,0.798820,-0.513074,0.382792,0.763242,-0.023925,0.093506,-0.033362,0.458638,0.231258,0.858004,0.032784,0.062995,-0.073387,-21.7890,63.1100,3.7840,0.670331,-0.034467,-0.619018,-0.407781
152650.915000,-0.095610,0.594385,-0.798477,-0.356196,0.728608,0.585025,0.929507,0.340349,0.142055,1.1754,-1.1931,-1.8330,0.173330,-0.166990,0.985350,-0.902608,0.393045,0.244251,0.119213,-0.344004,-0.072338,0.340349,0.142055,0.929507,-0.204406,-0.306716,0.043896,-33.8740,69.0300,-3.1730,0.666156,-0.091824,-0.648491,-0.356741
152650.990000,-0.118702,0.600049,-0.791107,-0.320522,0.730931,0.602499,0.939774,0.325085,0.105566,1.2568,-1.2220,-1.9255,0.322260,-0.019040,0.989740,-0.832668,0.479109,0.401145,0.074071,-0.115103,0.009442,0.325085,0.105566,0.939774,-0.036617,-0.126950,0.036974,-6.1640,2.9900,-15.2580,0.655324,-0.105831,-0.660316,-0.351190
152651.065000,-0.170193,0.603799,-0.778756,-0.421000,0.669977,0.611466,0.890951,0.431923,0.140174,1.2570,-1.0994,-1.9550,0.641110,0.160150,0.916990,-0.726525,0.398098,0.768908,0.100895,0.123088,0.091039,0.431923,0.140174,0.890951,0.182708,0.009452,0.012119,3.5400,-27.3430,-30.6390,0.640304,-0.070101,-0.651919,-0.400122
