timestamp,r00,r01,r02,r10,r11,r12,r20,r21,r22,roll,pitch,yaw,accel_body_x,accel_body_y,accel_body_z,accel_earth_x,accel_earth_y,accel_earth_z,earth_accel_x,earth_accel_y,earth_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,linear_accel_x,linear_accel_y,linear_accel_z,gyro_x,gyro_y,gyro_z,qw,qx,qy,qz
152650.465000,0.273144,0.374238,-0.886193,-0.195134,0.923628,0.329902,0.941974,0.082816,0.325309,0.2493,-1.2285,-0.6203,0.074700,0.247550,0.761230,-0.561551,0.465198,0.338502,0.001571,-0.016429,-0.210054,0.082816,0.325309,0.941974,-0.031982,-0.075144,-0.194231,10.6810,-17.7000,-44.1890,0.794053,-0.077793,-0.575581,-0.179261
152650.540000,0.249972,0.506634,-0.825128,-0.209425,0.860300,0.464785,0.945333,0.056619,0.321152,0.1745,-1.2386,-0.6974,-0.117670,0.214350,0.911130,-0.672616,0.632528,0.193511,-0.032310,-0.212260,-0.089415,0.056619,0.321152,0.945333,-0.204039,-0.100711,-0.048151,7.5680,-69.8240,-104.1250,0.779651,-0.130881,-0.567709,-0.229609
152650.615000,0.101051,0.536003,-0.838147,-0.314776,0.816405,0.484148,0.943772,0.214904,0.251219,0.7076,-1.2339,-1.2602,0.187980,0.090820,0.918450,-0.702120,0.459640,0.427660,0.099535,-0.112276,-0.089025,0.214904,0.251219,0.943772,-0.057444,-0.160148,-0.038620,-23.5590,-105.9570,-18.1270,0.736321,-0.091415,-0.605007,-0.288861
152650.690000,-0.035904,0.519795,-0.853536,-0.496340,0.732026,0.466675,0.867385,0.440400,0.231712,1.0865,-1.0499,-1.6430,0.708490,0.268550,0.758300,-0.533083,0.198813,0.908511,0.112169,0.254579,0.008582,0.440400,0.231712,0.867385,0.248442,0.025054,-0.122941,-21.9110,-111.1450,-1.9530,0.694232,-0.009462,-0.619721,-0.365920
152650.765000,-0.092412,0.504314,-0.858561,-0.601956,0.658550,0.451620,0.793164,0.558552,0.242717,1.1609,-0.9160,-1.7231,0.893060,0.386230,0.718260,-0.504418,0.041149,1.098406,0.060377,0.321382,0.138231,0.558552,0.242717,0.793164,0.319304,0.126856,-0.089398,-14.8920,-34.3620,-3.6620,0.672468,0.039753,-0.614053,-0.411272
152650.840000,-0.055093,0.534849,-0.843150,-0.512203,0.709721,0.483677,0.857095,0.458511,0.234851,1.0974,-1.0296,-1.6779,0.512690,0.302240,0.798820,-0.540118,0.338276,0.765608,-0.028489,0.089213,-0.033080,0.458511,0.234851,0.857095,0.032912,0.059402,-0.072478,-21.7890,63.1100,3.7840,0.687292,-0.009154,-0.618458,-0.380862
152650.915000,-0.063835,0.533691,-0.843267,-0.364288,0.774220,0.517569,0.929096,0.340231,0.144995,1.1679,-1.1920,-1.7443,0.173330,-0.166990,0.985350,-0.931099,0.317557,0.247096,0.149267,-0.334573,-0.073238,0.340231,0.144995,0.929096,-0.204288,-0.309656,0.044307,-33.8740,69.0300,-3.1730,0.681062,-0.065096,-0.650588,-0.329625
152650.990000,-0.090769,0.537599,-0.838301,-0.331160,0.777577,0.534515,0.939198,0.326130,0.107452,1.2525,-1.2203,-1.8383,0.322260,-0.019040,0.989740,-0.869187,0.407506,0.402806,0.084348,-0.110584,0.009141,0.326130,0.107452,0.939198,-0.037661,-0.128836,0.037550,-6.1640,2.9900,-15.2580,0.669750,-0.077785,-0.663494,-0.324285
152651.065000,-0.134464,0.544711,-0.827774,-0.436058,0.717603,0.543047,0.889816,0.433977,0.141034,1.2566,-1.0969,-1.8699,0.641110,0.160150,0.916990,-0.758031,0.333332,0.769298,0.089509,0.128524,0.091405,0.433977,0.141034,0.889816,0.180654,0.008593,0.013254,3.5400,-27.3430,-30.6390,0.656539,-0.041532,-0.654032,-0.373462
152651.140000,-0.067997,0.622142,-0.779946,-0.440231,0.682824,0.583051,0.895306,0.383002,0.227456,1.0349,-1.1091,-1.7240,0.379880,0.230950,0.823730,-0.524612,0.470740,0.615926,-0.010292,0.018375,-0.087119,0.383002,0.227456,0.895306,-0.027223,-0.001075,-0.085387,-0.1220,14.5260,-50.5980,0.678654,-0.073693,-0.617123,-0.391353
